2018-10-09 15:58:41,116 [Worker-76] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.yangrui:parent:0.0.1-SNAPSHOT @ F:\softData\eclipse\MicroBlog\parent\pom.xml.
2018-10-09 16:01:19,629 [Worker-72] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.yangrui:parent:0.0.1-SNAPSHOT @ F:\softData\eclipse\MicroBlog\parent\pom.xml.
2018-10-09 16:01:30,014 [Worker-70] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.yangrui:microblog:0.0.1-SNAPSHOT @ F:\softData\eclipse\MicroBlog\microblog\pom.xml.
2018-10-09 16:01:31,430 [Worker-70] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/ch/qos/logback/logback-classic/${logback.version}/logback-classic-${logback.version}.pom
2018-10-09 16:01:31,435 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ch.qos.logback:logback-classic:jar:${logback.version} is missing, no dependency information available
2018-10-09 16:01:31,666 [Worker-70] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/ch/qos/logback/logback-core/${logback.version}/logback-core-${logback.version}.pom
2018-10-09 16:01:31,668 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ch.qos.logback:logback-core:jar:${logback.version} is missing, no dependency information available
2018-10-09 16:01:31,893 [Worker-70] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/ch/qos/logback/logback-access/${logback.version}/logback-access-${logback.version}.pom
2018-10-09 16:01:31,897 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ch.qos.logback:logback-access:jar:${logback.version} is missing, no dependency information available
2018-10-09 16:01:32,179 [Worker-70] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/ch/qos/logback/logback-classic/${logback.version}/logback-classic-${logback.version}.jar
2018-10-09 16:01:32,408 [Worker-70] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/ch/qos/logback/logback-core/${logback.version}/logback-core-${logback.version}.jar
2018-10-09 16:01:32,641 [Worker-70] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/ch/qos/logback/logback-access/${logback.version}/logback-access-${logback.version}.jar
2018-10-09 16:01:32,780 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:01:32,782 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:01:32,784 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:01:32,784 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:01:49,384 [Worker-76] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.yangrui:microblog:0.0.1-SNAPSHOT @ F:\softData\eclipse\MicroBlog\microblog\pom.xml.
2018-10-09 16:01:49,539 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:01:49,539 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:01:49,539 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:01:49,549 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:02:04,812 [Worker-60] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.yangrui:parent:0.0.1-SNAPSHOT @ F:\softData\eclipse\MicroBlog\parent\pom.xml.
2018-10-09 16:02:04,995 [Worker-60] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.yangrui:microblog:0.0.1-SNAPSHOT @ F:\softData\eclipse\MicroBlog\microblog\pom.xml.
2018-10-09 16:02:06,616 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:02:06,620 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:02:06,623 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:02:06,624 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:02:42,778 [Worker-76] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.yangrui:banner:0.0.1-SNAPSHOT @ F:\softData\eclipse\MicroBlog\banner\pom.xml.
2018-10-09 16:02:42,839 [Worker-76] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /banner/src/main/java
2018-10-09 16:02:42,839 [Worker-76] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /banner/src/main/resources
2018-10-09 16:02:42,840 [Worker-76] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /banner/src/test/java
2018-10-09 16:02:42,840 [Worker-76] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /banner/src/test/resources
2018-10-09 16:02:43,053 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:02:43,055 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:02:43,056 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:02:43,058 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:03:08,772 [Worker-76] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.yangrui:banner:0.0.1-SNAPSHOT @ F:\softData\eclipse\MicroBlog\banner\pom.xml.
2018-10-09 16:03:08,890 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:03:08,890 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:03:08,891 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:03:08,892 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:03:18,202 [Worker-70] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.yangrui:parent:0.0.1-SNAPSHOT @ F:\softData\eclipse\MicroBlog\parent\pom.xml.
2018-10-09 16:03:18,425 [Worker-70] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.yangrui:microblog:0.0.1-SNAPSHOT @ F:\softData\eclipse\MicroBlog\microblog\pom.xml.
2018-10-09 16:03:18,488 [Worker-70] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.yangrui:banner:0.0.1-SNAPSHOT @ F:\softData\eclipse\MicroBlog\banner\pom.xml.
2018-10-09 16:03:19,945 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:03:19,947 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:03:19,949 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:03:19,950 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:03:20,008 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:03:20,009 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:03:20,009 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:03:20,010 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:03:53,953 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:03:53,955 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:03:53,957 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:03:53,957 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:04:35,899 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:04:35,899 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:04:35,900 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-09 16:04:35,901 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-09 16:04:49,413 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
